"lang"
{
"Language"	"danish"
"[english]TF_ClassRecord_MostTeleports"	"Most teleports:"
"TF_ClassRecord_MostHeadshots"	"Flest hovedskud:"
"[english]TF_ClassRecord_MostHeadshots"	"Most headshots:"
"TF_ClassRecord_MostBackstabs"	"Flest knivstik:"
"[english]TF_ClassRecord_MostBackstabs"	"Most backstabs:"
"TF_Name_change_limit_exceeded"	"Navneskift afvist (antal overskredet)."
"[english]TF_Name_change_limit_exceeded"	"Name change denied (rate exceeded)."
"Building_hud_building"	"Bygger..."
"[english]Building_hud_building"	"Building..."
"Building_hud_sentry_shells"	"Patroner:"
"[english]Building_hud_sentry_shells"	"Shells:"
"Building_hud_sentry_rockets"	"Raketter:"
"[english]Building_hud_sentry_rockets"	"Rockets:"
"Building_hud_sentry_upgrade"	"Opgrader:"
"[english]Building_hud_sentry_upgrade"	"Upgrade:"
"Building_hud_sentry_numkills"	"Drab: %numkills%"
"[english]Building_hud_sentry_numkills"	"Kills: %numkills%"
"Building_hud_dispenser_ammo"	"Metal:"
"[english]Building_hud_dispenser_ammo"	"Metal:"
"Building_hud_tele_charging"	"Oplader..."
"[english]Building_hud_tele_charging"	"Charging..."
"Building_hud_tele_times_used"	"Brugt:
%timesused%"
"[english]Building_hud_tele_times_used"	"Times Used:
%timesused%"
"Building_hud_tele_times_used_360"	"Brugt:
%timesused%"
"[english]Building_hud_tele_times_used_360"	"Used:
%timesused%"
"Building_hud_sentry_not_built"	"Robotgevær
Ikke bygget"
"[english]Building_hud_sentry_not_built"	"Sentry Gun
Not Built"
"Building_hud_dispenser_not_built"	"Automat
Ikke bygget"
"[english]Building_hud_dispenser_not_built"	"Dispenser
Not Built"
"Building_hud_tele_enter_not_built"	"Indgang til teleport
Ikke bygget"
"[english]Building_hud_tele_enter_not_built"	"Entrance
Not Built"
"Building_hud_tele_exit_not_built"	"Udgang fra teleport
Ikke bygget"
"[english]Building_hud_tele_exit_not_built"	"Exit
Not Built"
"Building_hud_sentry_not_built_360"	"Robotgevær
Ikke bygget"
"[english]Building_hud_sentry_not_built_360"	"Sentry
Not Built"
"Building_hud_tele_enter_not_built_360"	"Indgang
Ikke bygget"
"[english]Building_hud_tele_enter_not_built_360"	"Entrance
Not Built"
"Building_hud_tele_exit_not_built_360"	"Teleport-udg.
Ikke bygget"
"[english]Building_hud_tele_exit_not_built_360"	"Exit
Not Built"
"Hud_Menu_Demolish_Title"	"Riv ned"
"[english]Hud_Menu_Demolish_Title"	"Demolish"
"Hud_Menu_Build_Title"	"Byg"
"[english]Hud_Menu_Build_Title"	"Build"
"Hud_Menu_Disguise_Title"	"Forklæd"
"[english]Hud_Menu_Disguise_Title"	"Disguise"
"Hud_Menu_Build_Cant_Afford"	"Ikke tilstrækkelig
Metal"
"[english]Hud_Menu_Build_Cant_Afford"	"Not Enough
Metal"
"Hud_Menu_Build_Already_Built"	"Allerede bygget"
"[english]Hud_Menu_Build_Already_Built"	"Already Built"
"Hud_Menu_Build_Cancel"	"Tryk på '%lastinv%' for at annullere"
"[english]Hud_Menu_Build_Cancel"	"Hit '%lastinv%' to Cancel"
"Hud_Menu_Spy_Minus_Toggle"	"Tryk på 'e' for at skifte hold"
"[english]Hud_Menu_Spy_Minus_Toggle"	"Hit '%disguiseteam%' to Toggle Team"
"Hud_Menu_Spy_Toggle"	"Skift hold"
"[english]Hud_Menu_Spy_Toggle"	"Toggle Teams"
"Hud_Menu_Spy_Select_Disguise"	"Vælg forklædning"
"[english]Hud_Menu_Spy_Select_Disguise"	"Select Disguise"
"Hud_Menu_Build_Action_Demolish"	"Riv ned"
"[english]Hud_Menu_Build_Action_Demolish"	"Demolish"
"Hud_Menu_Build_Action_Build"	"Byg"
"[english]Hud_Menu_Build_Action_Build"	"Build"
"Voice"	"Tale"
"[english]Voice"	"Voice"
"Cancel"	"Annuller"
"[english]Cancel"	"Cancel"
"LoadingMap"	"Du er på vej til:"
"[english]LoadingMap"	"You're on your way to:"
"TF_Ubercharge"	"ÜBERCHARGE: %charge%%%"
"[english]TF_Ubercharge"	"ÜBERCHARGE: %charge%%%"
"TF_UberchargeMinHUD"	"%charge%%%"
"[english]TF_UberchargeMinHUD"	"%charge%%%"
"TF_NotBuilt"	"Ikke bygget"
"[english]TF_NotBuilt"	"Not Built"
"Voice_Menu_Medic"	"MEDIC!"
"[english]Voice_Menu_Medic"	"MEDIC!"
"Voice_Menu_Go"	"Go! Go! Go!"
"[english]Voice_Menu_Go"	"Go! Go! Go!"
"Voice_Menu_Help"	"Hjælp!"
"[english]Voice_Menu_Help"	"Help!"
"Voice_Menu_Yes"	"Ja"
"[english]Voice_Menu_Yes"	"Yes"
"Voice_Menu_No"	"Nej"
"[english]Voice_Menu_No"	"No"
"Voice_Menu_MoveUp"	"Ryk frem!"
"[english]Voice_Menu_MoveUp"	"Move Up!"
"Voice_Menu_Left"	"Gå til venstre!"
"[english]Voice_Menu_Left"	"Go Left"
"Voice_Menu_Right"	"Gå til højre!"
"[english]Voice_Menu_Right"	"Go Right"
"Voice_Menu_Incoming"	"Pas på"
"[english]Voice_Menu_Incoming"	"Incoming"
"Voice_Menu_CloakedSpy"	"Spy!"
"[english]Voice_Menu_CloakedSpy"	"Spy!"
"Voice_Menu_SentryAhead"	"Robotgevær forude!"
"[english]Voice_Menu_SentryAhead"	"Sentry Ahead!"
"Voice_Menu_TeleporterHere"	"Teleport her"
"[english]Voice_Menu_TeleporterHere"	"Teleporter Here"
"Voice_Menu_DispenserHere"	"Automat her"
"[english]Voice_Menu_DispenserHere"	"Dispenser Here"
"Voice_Menu_SentryHere"	"robotgevær her"
"[english]Voice_Menu_SentryHere"	"Sentry Here"
"Voice_Menu_ActivateCharge"	"Aktivér ladning!"
"[english]Voice_Menu_ActivateCharge"	"Activate Charge!"
"Voice_Menu_ChargeReady"	"MEDIC: ÜberCharge parat"
"[english]Voice_Menu_ChargeReady"	"MEDIC: ÜberCharge Ready"
"Voice_Menu_Cheers"	"Godt"
"[english]Voice_Menu_Cheers"	"Cheers"
"Voice_Menu_Jeers"	"Skidt"
"[english]Voice_Menu_Jeers"	"Jeers"
"Voice_Menu_Positive"	"Positiv"
"[english]Voice_Menu_Positive"	"Positive"
"Voice_Menu_Negative"	"Negativ"
"[english]Voice_Menu_Negative"	"Negative"
"Voice_Menu_NiceShot"	"Godt skudt"
"[english]Voice_Menu_NiceShot"	"Nice Shot"
"Voice_Menu_GoodJob"	"Godt gået"
"[english]Voice_Menu_GoodJob"	"Good Job"
"Voice_Menu_BattleCry"	"Kampråb"
"[english]Voice_Menu_BattleCry"	"Battle Cry"
"Voice_Menu_Thanks"	"Tak!"
"[english]Voice_Menu_Thanks"	"Thanks!"
"TF_classautokill"	"Selvmord efter valg af spillerrang"
"[english]TF_classautokill"	"Suicide after choosing a player class"
"TF_CurrentPlayers"	"Aktuelle spillere"
"[english]TF_CurrentPlayers"	"Current Players"
"TF_PlayerMatch_Title"	"Xbox LIVE-spillermatching"
"[english]TF_PlayerMatch_Title"	"Xbox LIVE Player Match"
"TF_PlayerMatch_Desc"	"Spil på Xbox LIVE i spil, hvor
statistikker ikke gemmes."
"[english]TF_PlayerMatch_Desc"	"Play on Xbox LIVE in games where
statistics are not tracked."
"TF_RankedMatch_Title"	"Xbox LIVE placerings-match"
"[english]TF_RankedMatch_Title"	"Xbox LIVE Ranked Match"
"TF_RankedMatch_Desc"	"Spil på Xbox LIVE i placerings-
spil, hvor statistikker gemmes."
"[english]TF_RankedMatch_Desc"	"Play on Xbox LIVE in ranked
games where statistics are tracked."
"TF_SystemLink_Title"	"Systemlink-match"
"[english]TF_SystemLink_Title"	"System Link Match"
"TF_LoadCommentary"	"Udviklerkommentar"
"[english]TF_LoadCommentary"	"Developer Commentary"
"TF_Achievements_Title"	"Mine præstationer"
"[english]TF_Achievements_Title"	"My Achievements"
"TF_Rankings_Title"	"Placering"
"[english]TF_Rankings_Title"	"Ranking"
"TF_Controller_Title"	"Controller"
"[english]TF_Controller_Title"	"Controller"
"TF_Options_Title"	"Indstillinger"
"[english]TF_Options_Title"	"Options"
"TF_Quit_Title"	"Afslut"
"[english]TF_Quit_Title"	"Quit"
"TF_Paused_Title"	"Team Fortress-indstillinger"
"[english]TF_Paused_Title"	"Team Fortress Options"
"TF_ModifyMatch_Title"	"Rediger session"
"[english]TF_ModifyMatch_Title"	"Modify Session"
"TF_PersonalStats_Title"	"Personlig statistik"
"[english]TF_PersonalStats_Title"	"Personal Stats"
"TF_StatsLeaderboards_Title"	"Statistik over førertavler"
"[english]TF_StatsLeaderboards_Title"	"Stats Leaderboards"
"TF_RankedLeaderboards_Title"	"Førertavler med placeringer"
"[english]TF_RankedLeaderboards_Title"	"Ranked Leaderboards"
"TF_QuickMatch_Title"	"Deltag i en hurtig-match"
"[english]TF_QuickMatch_Title"	"Join a Quick Match"
"TF_QuickMatch_Desc"	"Hop direkte ind i et spil mod
modstandere der matcher hinanden."
"[english]TF_QuickMatch_Desc"	"Jump straight into a game against
similarly matched opponents."
"TF_HostMatch_Title"	"Vær vært for en match"
"[english]TF_HostMatch_Title"	"Host a Match"
"TF_HostMatch_Desc"	"Opret en spil-session præcist,
som du har lyst til."
"[english]TF_HostMatch_Desc"	"Create a new game session exactly
as you want."
"TF_CustomMatch_Title"	"Find en brugerdefineret match"
"[english]TF_CustomMatch_Title"	"Find a Custom Match"
"TF_CustomMatch_Desc"	"Søg efter spil-sessioner ud fra dine
foretrukne kriterier for matching."
"[english]TF_CustomMatch_Desc"	"Search for game sessions based on your
preferred match criteria."
"TF_SystemLink_Host_Title"	"Vær vært for en match"
"[english]TF_SystemLink_Host_Title"	"Host a Match"
"TF_SystemLink_Host_Desc"	"Opret en match på dit lokale netværk (LAN)."
"[english]TF_SystemLink_Host_Desc"	"Create a match on your Local Area Network."
"TF_SystemLink_Join_Title"	"Deltag i match"
"[english]TF_SystemLink_Join_Title"	"Join a Match"
"TF_SystemLink_Join_Desc"	"Find en anden match, du kan deltage i på dit
lokale netværk (LAN)."
"[english]TF_SystemLink_Join_Desc"	"Find another match to join on your
Local Area Network."
"TF_PlayerMatch_Host_Title"	"Opret et brugerdefineret spiller-match"
"[english]TF_PlayerMatch_Host_Title"	"Create a Custom Player Match"
"TF_PlayerMatch_Client_Title"	"Find et spiller-match"
"[english]TF_PlayerMatch_Client_Title"	"Find a Player Match"
"TF_RankedMatch_Host_Title"	"Opret et brugerdefineret placerings-match"
"[english]TF_RankedMatch_Host_Title"	"Create a Custom Ranked Match"
"TF_RankedMatch_Client_Title"	"Find et placerings-match"
"[english]TF_RankedMatch_Client_Title"	"Find a Ranked Match"
"TF_SystemLink_Host_Dialog"	"Vær vært for et systemlink-match"
"[english]TF_SystemLink_Host_Dialog"	"Host a System Link Match"
"TF_SystemLink_Client_Dialog"	"Vælg et spil at deltage i"
"[english]TF_SystemLink_Client_Dialog"	"Select a game to join"
"TF_Achievements_Dialog_Title"	"Mine Team Fortress 2 præstationer"
"[english]TF_Achievements_Dialog_Title"	"My Team Fortress 2 Achievements"
"TF_Achievement_Locked"	"Låst"
"[english]TF_Achievement_Locked"	"Locked"
"TF_Achievement_Unlocked"	"Ulåst"
"[english]TF_Achievement_Unlocked"	"Unlocked"
"TF_Achievement_NumberingFmt"	"%s1 - %s2 af %s3"
"[english]TF_Achievement_NumberingFmt"	"%s1 - %s2 of %s3"
"Achievement_Group_All"	"Alle (%s1 af %s2)"
"[english]Achievement_Group_All"	"All (%s1 of %s2)"
"Achievement_Group_0"	"Generel (%s1 af %s2)"
"[english]Achievement_Group_0"	"General (%s1 of %s2)"
"Achievement_Group_1000"	"Scout Pack (%s1 af %s2)"
"[english]Achievement_Group_1000"	"Scout Pack (%s1 of %s2)"
"Achievement_Group_1100"	"Sniper Pack (%s1 af %s2)"
"[english]Achievement_Group_1100"	"Sniper Pack (%s1 of %s2)"
"Achievement_Group_1200"	"Soldier Pack (%s1 af %s2)"
"[english]Achievement_Group_1200"	"Soldier Pack (%s1 of %s2)"
"Achievement_Group_1300"	"Demoman Pack (%s1 af %s2)"
"[english]Achievement_Group_1300"	"Demoman Pack (%s1 of %s2)"
"Achievement_Group_1400"	"Medic Pack (%s1 af %s2)"
"[english]Achievement_Group_1400"	"Medic Pack (%s1 of %s2)"
"Achievement_Group_1500"	"Heavy Pack (%s1 af %s2)"
"[english]Achievement_Group_1500"	"Heavy Pack (%s1 of %s2)"
"Achievement_Group_1600"	"Pyro Pack (%s1 af %s2)"
"[english]Achievement_Group_1600"	"Pyro Pack (%s1 of %s2)"
"Achievement_Group_1700"	"Spy Pack (%s1 af %s2)"
"[english]Achievement_Group_1700"	"Spy Pack (%s1 of %s2)"
"Achievement_Group_1800"	"Engineer Pack (%s1 af %s2)"
"[english]Achievement_Group_1800"	"Engineer Pack (%s1 of %s2)"
"Achievement_Group_1900"	"Halloween-arrangement (%s1 af %s2)"
"[english]Achievement_Group_1900"	"Halloween Event (%s1 of %s2)"
"TF_MatchOption_Scenario"	"Scenarie"
"[english]TF_MatchOption_Scenario"	"Scenario"
"TF_MatchOption_FlagCapLimit"	"Begrænsning for erobring af flag"
"[english]TF_MatchOption_FlagCapLimit"	"Flag Capture Limit"
"TF_MatchOption_Rounds"	"Antal runder"
"[english]TF_MatchOption_Rounds"	"Number of Rounds"
"TF_MatchOption_GameSize"	"Spilstørrelse"
"[english]TF_MatchOption_GameSize"	"Game Size"
"TF_MatchOption_AutoBalance"	"Auto-afbalancering af hold"
"[english]TF_MatchOption_AutoBalance"	"Team Auto Balance"
"TF_MatchOption_PrivateSlots"	"Private pladser"
"[english]TF_MatchOption_PrivateSlots"	"Private Slots"
"TF_MatchOption_MaxTime"	"Maks. spilletid"
"[english]TF_MatchOption_MaxTime"	"Max Game Time"
"TF_MatchOption_WinLimit"	"Grænse for sejre i en runde"
"[english]TF_MatchOption_WinLimit"	"Round Win Limit"
"TF_GameTime"	"Spiltid"
"[english]TF_GameTime"	"Game Time"
"TF_Ranked"	"Placerings-match"
"[english]TF_Ranked"	"Ranked Match"
"TF_Unranked"	"Spiller-match"
"[english]TF_Unranked"	"Player Match"
"TF_PressStart"	"Tryk på START for at spille"
"[english]TF_PressStart"	"Press START to play"
"TF_StartingInSecs"	"Starter om: %s1 sekunder"
"[english]TF_StartingInSecs"	"Starting in: %s1 seconds"
"TF_StartingInSec"	"Starter om: %s1 sekund"
"[english]TF_StartingInSec"	"Starting in: %s1 second"
"TF_WaitingForPlayersFmt"	"Venter på %s1 spillere"
"[english]TF_WaitingForPlayersFmt"	"Waiting for %s1 players"
"TF_WaitingForPlayerFmt"	"Venter på %s1 spiller"
"[english]TF_WaitingForPlayerFmt"	"Waiting for %s1 player"
"TF_WaitingForHost"	"Venter på værten"
"[english]TF_WaitingForHost"	"Waiting for the host"
"TF_Lobby_Title"	"Spillobby"
"[english]TF_Lobby_Title"	"Game Lobby"
"TF_Lobby_Host"	"Vært:"
"[english]TF_Lobby_Host"	"Hosted by:"
"TF_On"	"Til"
"[english]TF_On"	"On"
"TF_Off"	"Inaktiv"
"[english]TF_Off"	"Off"
"TF_Any"	"Alle"
"[english]TF_Any"	"Any"
"TF_MaxTimeNoLimit"	"Ingen begrænsning"
"[english]TF_MaxTimeNoLimit"	"No Limit"
"TF_NoTimeLimit"	"Ingen tidsbegrænsning"
"[english]TF_NoTimeLimit"	"No Time Limit"
"TF_MaxTimeFmt"	"%s1 minutter"
"[english]TF_MaxTimeFmt"	"%s1 Minutes"
"TF_GameSizeFmt"	"%s1 spillere"
"[english]TF_GameSizeFmt"	"%s1 Players"
"TF_ViewGamercard"	"Vis Gamercard"
"[english]TF_ViewGamercard"	"View Gamercard"
"TF_KickPlayer"	"Spark spiller ud"
"[english]TF_KickPlayer"	"Kick Player"
"TF_AttackDefend"	"Angrib / Forsvar"
"[english]TF_AttackDefend"	"Attack / Defend"
"TF_TerritoryControl"	"TerritorialKontrol"
"[english]TF_TerritoryControl"	"Territorial Control"
"TF_GameState_InLobby"	"Status: I lobby"
"[english]TF_GameState_InLobby"	"Status: In Lobby"
"TF_GameState_InLobby_lodef"	"Status:
I lobby"
"[english]TF_GameState_InLobby_lodef"	"Status:
In Lobby"
"TF_GameState_GameInProgress"	"Status: I spil"
"[english]TF_GameState_GameInProgress"	"Status: In Game"
"TF_GameState_GameInProgress_lodef"	"Status:
I spil"
"[english]TF_GameState_GameInProgress_lodef"	"Status:
In Game"
"TF_Recommended_Players"	"Den tilgængelige båndbredde er muligvis ikke tilstrækkelig til det valgte antal spillere."
"[english]TF_Recommended_Players"	"Available bandwidth might be insufficient for selected number of players."
"TF_Rank"	"Placering"
"[english]TF_Rank"	"Rank"
"TF_Gamertag"	"Gamertag"
"[english]TF_Gamertag"	"Gamertag"
"TF_HostName"	"Værtsnavn"
"[english]TF_HostName"	"Host Name"
"TF_Players"	"Spillere"
"[english]TF_Players"	"Players"
"TF_Top"	"Topplacering"
"[english]TF_Top"	"Top Rank"
"TF_YourRank"	"Din placering"
"[english]TF_YourRank"	"Your Rank"
"TF_YourBest"	"Dit bedste:"
"[english]TF_YourBest"	"Your Best:"
"TF_Icon_Ping_Red"	"M"
"[english]TF_Icon_Ping_Red"	"M"
"TF_Icon_Ping_Yellow"	"N"
"[english]TF_Icon_Ping_Yellow"	"N"
"TF_Icon_Ping_Green"	"O"
"[english]TF_Icon_Ping_Green"	"O"
"TF_Icon_Voice"	"V"
"[english]TF_Icon_Voice"	"V"
"TF_Icon_Voice_Idle"	"W"
"[english]TF_Icon_Voice_Idle"	"W"
"TF_Icon_Alert"	"!"
"[english]TF_Icon_Alert"	"!"
"TF_Icon_NotReady"	","
"[english]TF_Icon_NotReady"	","
"TF_Icon_Ready"	"."
"[english]TF_Icon_Ready"	"."
"TF_Icon_Start"	"s"
"[english]TF_Icon_Start"	"s"
"TF_ChangeTeam"	"Skift hold"
"[english]TF_ChangeTeam"	"Change Team"
"TF_ChangeClass"	"Skift klasse"
"[english]TF_ChangeClass"	"Change Class"
"TF_Attacking"	"Angriber"
"[english]TF_Attacking"	"Attacking"
"TF_Defending"	"Forsvarer"
"[english]TF_Defending"	"Defending"
"TF_Dlg_NotOnlineEnabled"	"Du skal have et Xbox LIVE Gold-medlemskab for at få adgang til denne funktion. Skal der vælges en anden profil?"
"[english]TF_Dlg_NotOnlineEnabled"	"You need an Xbox LIVE Gold Membership to access this feature. Would you like to select a different profile?"
"TF_Dlg_NotOnlineSignedIn"	"Du skal logge ind på Xbox LIVE for at få adgang til denne funktion. Vil du logge på nu?"
"[english]TF_Dlg_NotOnlineSignedIn"	"You need to sign in to Xbox LIVE to access this feature. Would you like to sign in now?"
"TF_Dlg_SearchingForGames"	"Søger efter spil..."
"[english]TF_Dlg_SearchingForGames"	"Searching for games..."
"TF_Dlg_CreatingGame"	"Opretter spillet..."
"[english]TF_Dlg_CreatingGame"	"Creating the game..."
"TF_Dlg_ExitSessionText"	"Er du sikker på, at du vil forlade spillet?"
"[english]TF_Dlg_ExitSessionText"	"Are you sure you want to leave this game?"
"TF_Dlg_NoGamesFound"	"Der blev ikke fundet nogen spil, der svarer til dine kriterier.

Vil du være vært for et spil?"
"[english]TF_Dlg_NoGamesFound"	"No games were found matching your criteria.

Would you like to host a game?"
"TF_Dlg_CreateFailed"	"Kunne ikke oprette et spil."
"[english]TF_Dlg_CreateFailed"	"Failed to create a game."
"TF_Dlg_JoinRefused"	"Dette spil accepterer ikke længere spillere."
"[english]TF_Dlg_JoinRefused"	"This game is no longer accepting players."
"TF_Dlg_GameFull"	"Dette spil er fuldt."
"[english]TF_Dlg_GameFull"	"This game is full."
"TF_Dlg_JoinFailed"	"Kunne ikke slutte til spillet."
"[english]TF_Dlg_JoinFailed"	"Failed to join to the game."
"TF_Dlg_ConfirmKick"	"Fjern denne spiller fra spillet?"
"[english]TF_Dlg_ConfirmKick"	"Remove this player from the game?"
"TF_Dlg_ClientKicked"	"Du er blevet sparket ud af spillet."
"[english]TF_Dlg_ClientKicked"	"You have been kicked from this game."
"TF_Dlg_LostHost"	"Forbindelsen til værten gik tabt."
"[english]TF_Dlg_LostHost"	"Connection to the host was lost."
"TF_Dlg_LostServer"	"Forbindelsen til spilserveren gik tabt."
"[english]TF_Dlg_LostServer"	"Connection to the game server was lost."
"TF_Dlg_Connecting"	"Tilslutter..."
"[english]TF_Dlg_Connecting"	"Connecting..."
"TF_Dlg_ModifyingSession"	"Ændrer session..."
"[english]TF_Dlg_ModifyingSession"	"Modifying session..."
"TF_Dlg_CheckingStorageDevice"	"Kontrollerer lagerenhed..."
"[english]TF_Dlg_CheckingStorageDevice"	"Checking storage device..."
"TF_Spectator_ChangeClass"	"Tryk på [ %changeclass% ] for at skifte klasse"
"[english]TF_Spectator_ChangeClass"	"Press [ %changeclass% ] to Change Class"
"TF_Spectator_ChangeTeam"	"Tryk på [ %changeteam% ] for at skifte hold"
"[english]TF_Spectator_ChangeTeam"	"Press [ %changeteam% ] to Change Team"
"TF_Spectator_AutoDirector"	"Tryk på [ %strafe% ] for auto-instruktør"
"[english]TF_Spectator_AutoDirector"	"Press [ %strafe% ] for Auto Director"
"TF_Spectator_SwitchCamModeKey"	"[%jump%]"
"[english]TF_Spectator_SwitchCamModeKey"	"[%jump%]"
"TF_Spectator_SwitchCamMode"	"Skift kameratilstand"
"[english]TF_Spectator_SwitchCamMode"	"Switch Camera Mode"
"TF_Spectator_CycleTargetFwdKey"	"[%attack%]"
"[english]TF_Spectator_CycleTargetFwdKey"	"[%attack%]"
"TF_Spectator_CycleTargetFwd"	"Skift mellem mål (fremad)"
"[english]TF_Spectator_CycleTargetFwd"	"Cycle Targets (fwd)"
"TF_Spectator_CycleTargetRevKey"	"[%attack2%]"
"[english]TF_Spectator_CycleTargetRevKey"	"[%attack2%]"
"TF_Spectator_CycleTargetRev"	"Skift mellem mål (tilbage)"
"[english]TF_Spectator_CycleTargetRev"	"Cycle Targets (rev)"
"TF_Spectator_Spectating"	"Tilskuer:"
"[english]TF_Spectator_Spectating"	"Spectating:"
"TF_teambalanced"	"Holdene er blevet auto-afbalanceret"
"[english]TF_teambalanced"	"The teams have been auto-balanced"
"TF_teamswitch"	"Holdene er blevet skiftet"
"[english]TF_teamswitch"	"The teams have been switched"
"TF_teamswitch_attackers"	"Du skal nu angribe!"
"[english]TF_teamswitch_attackers"	"You are now Attacking!"
"TF_teamswitch_defenders"	"Du skal nu forsvare!"
"[english]TF_teamswitch_defenders"	"You are now Defending!"
"TF_teamswitch_red"	"Du er nu på RED!"
"[english]TF_teamswitch_red"	"You are now on RED!"
"TF_teamswitch_blue"	"Du er nu logget på BLU!"
"[english]TF_teamswitch_blue"	"You are now on BLU!"
"TF_suddendeath"	"PLUDSELIG DØD!"
"[english]TF_suddendeath"	"SUDDEN DEATH!"
"TF_suddendeath_mode"	"PLUDSELIG DØD-TILSTAND!"
"[english]TF_suddendeath_mode"	"SUDDEN DEATH MODE!"
"TF_suddendeath_join"	"Læn dig tilbage og slap af, mens du venter på, at denne ubetydelige lille konflikt skal få en ende."
"[english]TF_suddendeath_join"	"Sit back and relax while you wait for this petty conflict to end."
"TF_suddendeath_timer"	"Din tid er udløbet. Hold øje med din ryg, og gør det af med dem. Ingen mulighed for at vende tilbage."
"[english]TF_suddendeath_timer"	"You've run out of time. Watch your back and finish 'em off. No more spawning."
"TF_suddendeath_limit"	"Banens tidsbegrænsning er nået. Ingen mulighed for at vende tilbage, så nu gælder det."
"[english]TF_suddendeath_limit"	"Map time limit reached. No more spawning, so make this count."
"TF_IM_WellCTF_Intro"	"Well (CTF) er en Erobr flaget-bane"
"[english]TF_IM_WellCTF_Intro"	"Well (CTF) is a Capture the Flag map"
"TF_IM_WellCTF_ToWin"	"For at vinde point skal du stjæle fjendens mappe med efterretninger og returnere den til dit erobringspunkt"
"[english]TF_IM_WellCTF_ToWin"	"To win a point, steal the enemies intelligence briefcase and return it to your capture point"
"TF_IM_WellCTF_IntelDrop"	"Tabte mapper vil blive returneret til deres base efter 60 sekunder"
"[english]TF_IM_WellCTF_IntelDrop"	"Dropped briefcases will return to their base in 60 seconds"
"TF_IM_2Fort_Intro"	"2Fort er en Erobr flaget-bane"
"[english]TF_IM_2Fort_Intro"	"2Fort is a Capture the Flag map"
"TF_IM_2Fort_ToWin"	"For at vinde point skal du stjæle fjendens mappe med efterretninger og returnere den til din kælder"
"[english]TF_IM_2Fort_ToWin"	"To win a point, steal the enemies intelligence briefcase and return it to your basement"
"TF_IM_2Fort_IntelStatus"	"Status for og placeringen af begge mapperne med efterretninger kan du se i bunden af skærmbilledet"
"[english]TF_IM_2Fort_IntelStatus"	"The status and location of both intelligence briefcases can be found at the base of your screen"
"TF_IM_2Fort_IntelDrop"	"Tabte mapper vil blive returneret til deres kælder efter 60 sekunder"
"[english]TF_IM_2Fort_IntelDrop"	"Dropped briefcases will return to their basement in 60 seconds"
"TF_IM_Gravelpit_Intro"	"Gravel Pit er en Angrib/forsvar kontrolpunkter-bane"
"[english]TF_IM_Gravelpit_Intro"	"Gravel Pit is an Attack/Defend Control Point map"
"TF_IM_Gravelpit_RedWin"	"Hold RED vinder ved at forsvare deres kontrolpunkter"
"[english]TF_IM_Gravelpit_RedWin"	"Team RED wins by defending their Control Points"
"TF_IM_Gravelpit_BlueWin"	"Hold BLU vinder ved at erobre alle kontrolpunkterne, inden tiden løber ud"
"[english]TF_IM_Gravelpit_BlueWin"	"Team BLU wins by capturing all control points before the time runs out"
"TF_IM_Dustbowl_Intro"	"Dustbowl er en Angrib/forsvar kontrolpunkter-bane"
"[english]TF_IM_Dustbowl_Intro"	"Dustbowl is an Attack/Defend Control Point map"
"TF_IM_Dustbowl_ToWin"	"Hold BLU skal avancere gennem tre områder for at vinde"
"[english]TF_IM_Dustbowl_ToWin"	"Team BLU must advance through three stages to win"
"TF_IM_Dustbowl_Stages"	"Hvert område indeholder to kontrolpunkter"
"[english]TF_IM_Dustbowl_Stages"	"Each stage contains two Control Points"
"TF_IM_Hydro_Intro"	"Hydro er en Territorium-kontrolpunkt-bane"
"[english]TF_IM_Hydro_Intro"	"Hydro is a Territorial Control Point map"
"TF_IM_Hydro_ToWin"	"Et hold skal kontrollere alle seks territorier for at vinde"
"[english]TF_IM_Hydro_ToWin"	"A team must control all six territories to win"
"TF_IM_Hydro_ToWin2"	"Hvert hold starter med tre territorier"
"[english]TF_IM_Hydro_ToWin2"	"Each team starts with three territories"
"TF_IM_Hydro_Stages"	"Områderne spilles igennem med to kontrolpunkter ad gangen"
"[english]TF_IM_Hydro_Stages"	"Stages will be played with two Control points at a time"
"TF_IM_Hydro_CP"	"Du skal erobre fjendens kontrolpunkt i et område for at vinde territoriet"
"[english]TF_IM_Hydro_CP"	"Capture the enemy Control Point in a stage to win the territory"
"TF_IM_Well_Intro"	"Well (CP) er en Kontrolpunkt-bane"
"[english]TF_IM_Well_Intro"	"Well (CP) is a Control Point map"
"TF_IM_Granary_Intro"	"Granary er en Kontrolpunkt-bane"
"[english]TF_IM_Granary_Intro"	"Granary is a Control Point map"
"TF_IM_Badlands_Intro"	"Badlands er en Kontrolpunkt-bane"
"[english]TF_IM_Badlands_Intro"	"Badlands is a Control Point map"
"TF_IM_CP_ToWin"	"For at vinde skal hvert hold eje alle fem kontrolpunkter"
"[english]TF_IM_CP_ToWin"	"To win, each team must own all five Control Points"
"TF_IM_CP_Capture"	"For at erobre et kontrolpunkt skal du stå inden for den afgrænsede erobringszone, indtil du ejer kontrolpunktet"
"[english]TF_IM_CP_Capture"	"To capture a Control Point, stand within the Capture Zone boundaries until you own the Control Point"
"TF_IM_CP_TimeAdd"	"Der tilføjes tid til uret, når et kontrolpunkt erobres"
"[english]TF_IM_CP_TimeAdd"	"Time is added to the clock when a Control Point is captured"
