"lang" 
{ 
"Language" "norwegian" 
"Tokens" 
{ 
// Teams
"TF_AutoAssign" 			"&1 AUTOMATISK TILORDNING"

// Win panel strings
"Winpanel_Team1"			"LAG"
"[english]Winpanel_Team1"			"TEAM"
"Winpanel_Team2"			"Lag"
"[english]Winpanel_Team2"			"Team"
"Winpanel_BlueWins"			"LAG BLU VINNER!"
"[english]Winpanel_BlueWins"			"BLU TEAM WINS!"
"Winpanel_BlueAdvances"			"LAG BLU TAR OMRÅDET"
"[english]Winpanel_BlueAdvances"			"BLU TEAM SEIZES AREA"
"Winpanel_BlueDefends"			"LAG BLU FORSVARER SEG!"
"[english]Winpanel_BlueDefends"			"BLU TEAM DEFENDS!"
"Winpanel_RedWins"			"LAG RED VINNER!"
"[english]Winpanel_RedWins"			"RED TEAM WINS!"
"Winpanel_RedAdvances"			"LAG RED TAR OMRÅDET"
"[english]Winpanel_RedAdvances"			"RED TEAM SEIZES AREA"
"Winpanel_RedDefends"			"LAG RED FORSVARER SEG!"
"[english]Winpanel_RedDefends"			"RED TEAM DEFENDS!"

"Winpanel_TeamWins"			"%s1 %s2 VINNER!"
"[english]Winpanel_TeamWins"			"%s1 %s2 WINS!"
"Winpanel_TeamLost"			"%s1 %s2 TAPTE!"
"[english]Winpanel_TeamLost"			"%s1 %s2 LOST!"
"Winpanel_TeamAdvances"			"%s1 %s2 TAR OMRÅDET"
"[english]Winpanel_TeamAdvances"			"%s1 %s2 SEIZES AREA"
"Winpanel_TeamDefends"			"%s1 %s2 FORSVARER SEG!"
"[english]Winpanel_TeamDefends"			"%s1 %s2 DEFENDS!"




"Winpanel_BlueMVPs"			"Beste spillere på BLU:"
"[english]Winpanel_BlueMVPs"			"BLU Team MVPs:"
"Winpanel_RedMVPs"			"Beste spillere på RED:"
"[english]Winpanel_RedMVPs"			"RED Team MVPs:"
"Winpanel_TopPlayers"			"Toppspillere:"
"[english]Winpanel_TopPlayers"			"Top Players:"
"Winpanel_PointsThisRound"		"Poeng denne runden:"
"[english]Winpanel_PointsThisRound"		"Points this round:"
"Winpanel_CapturePointsRemaining"	"%s1 flere områder å vinne"
"[english]Winpanel_CapturePointsRemaining"	"%s1 more areas to win"
"Winpanel_CapturePointRemaining"	"%s1 område til å vinne"
"[english]Winpanel_CapturePointRemaining"	"%s1 more area to win"
"Winpanel_WinningCapture"		"Erobringen som gav seier: %s1"
"[english]Winpanel_WinningCapture"		"Winning capture: %s1"

"Winreason_AllPointsCaptured"		"%s1 erobret alle kontrollpunktene"
"[english]Winreason_AllPointsCaptured"		"%s1 captured all control points"
"Winreason_FlagCaptureLimit"		"%s1 erobret fiendens etterretning %s2 ganger"
"[english]Winreason_FlagCaptureLimit"		"%s1 captured the enemy intelligence %s2 times"
"Winreason_OpponentsDead"		"%s1 drepte alle motstanderne under sudden death"
"[english]Winreason_OpponentsDead"		"%s1 killed all opponents during sudden death"
"Winreason_DefendedUntilTimeLimit"	"%s1 ble forsvart helt til tiden gikk ut"
"[english]Winreason_DefendedUntilTimeLimit"	"%s1 successfully defended until time ran out"
"Winreason_TimeLimit"			"%s1 hadde flere poeng da tidsgrensen ble nådd"
"[english]Winreason_TimeLimit"			"%s1 had more points when the time limit was reached"
"Winreason_WinLimit"			"%s1 hadde flere poeng da grensen for seier ble nådd"
"[english]Winreason_WinLimit"			"%s1 had more points when the win limit was reached"
"Winreason_WinDiffLimit"		"%s1 lå foran med det som kreves for å vinne"
"[english]Winreason_WinDiffLimit"		"%s1 was ahead by the required difference to win"
"Winreason_Stalemate"			"Dere er en haug med tapere"
"[english]Winreason_Stalemate"			"You're all losers"
"Winreason_Arena"			"%s1 drepte alle motstandere"
"[english]Winreason_Arena"			"%s1 killed all opponents"
"Winreason_PayloadRace"			"%s1 vant nyttelastkappløpet"
"[english]Winreason_PayloadRace"			"%s1 won the payload race"


//Tournament
"Tournament_WaitingForTeams"		"Venter på at lagene skal organisere seg"
"[english]Tournament_WaitingForTeams"		"Waiting for teams to organize"
"Tournament_Countdown"			"Starter om %s1 sekunder ... Trykk på F4 for å avbryte"
"[english]Tournament_Countdown"			"Starting in %s1 seconds... Press 'F4' to cancel"
"Tournament_TeamReady"			"Klar"
"[english]Tournament_TeamReady"			"Ready"
"Tournament_TeamNotReady"		"Ikke klar"
"[english]Tournament_TeamNotReady"		"Not Ready"
"Tournament_WinConditions"		"Betingelser for seier: "
"[english]Tournament_WinConditions"		"Win Conditions: "
"Tournament_WinConditionsMinute"	"minutt"
"[english]Tournament_WinConditionsMinute"	"minute"
"Tournament_WinConditionsRound"		"runde"
"[english]Tournament_WinConditionsRound"		"round"
"Tournament_WinConditionsWin"		"seier"
"[english]Tournament_WinConditionsWin"		"win"
"Tournament_WinConditionsMinutes"	"minutter"
"[english]Tournament_WinConditionsMinutes"	"minutes"
"Tournament_WinConditionsRounds"	"runder"
"[english]Tournament_WinConditionsRounds"	"rounds"
"Tournament_WinConditionsWins"		"seire"
"[english]Tournament_WinConditionsWins"		"wins"
"Tournament_WinConditionsNone"		"Ingen"
"[english]Tournament_WinConditionsNone"		"None"
"Tournament_WinConditionsSecond"	"sekund"
"[english]Tournament_WinConditionsSecond"	"second"
"Tournament_WinConditionsSeconds"	"sekunder"
"[english]Tournament_WinConditionsSeconds"	"seconds"
"Tournament_TeamSetupNotReady"		"Laget er ikke klart"
"[english]Tournament_TeamSetupNotReady"		"Team Not Ready"
"Tournament_TeamSetupReady"		"Laget er klart"
"[english]Tournament_TeamSetupReady"		"Team Ready"
"Tournament_Instructions"		"F4 = endre navn/status for laget"
"[english]Tournament_Instructions"		"F4 = change team name/status"
"Tournament_TeamNamePanel"		"Navn på laget"
"[english]Tournament_TeamNamePanel"		"Team Name"
"Winpanel_TournamentTeamWins"		"%s1 VINNER!"
"[english]Winpanel_TournamentTeamWins"		"%s1 WINS!"
"Winpanel_TournamentTeamLost"		"%s1 TAPTE!"
"[english]Winpanel_TournamentTeamLost"		"%s1 LOST!"
"Winpanel_TournamentTeamAdvances"	"%s1 TAR OMRÅDET"
"[english]Winpanel_TournamentTeamAdvances"	"%s1 SEIZES AREA"
"Winpanel_TournamentTeamDefends"	"%s1 FORSVARER SEG!"
"[english]Winpanel_TournamentTeamDefends"	"%s1 DEFENDS!"
"Winpanel_TournamentMVPs"		"Beste spillere på %s1:"
"[english]Winpanel_TournamentMVPs"		"%s1 MVPs:"
"Tournament_TeamName_Change"		"%s1 endret navnet på laget til %s2"
"[english]Tournament_TeamName_Change"		"%s1 changed team name to %s2"
"Tournament_ReadyState_Change"		"%s1 endret statusen for laget til %s2"
"[english]Tournament_ReadyState_Change"		"%s1 changed team state to %s2"
"Tournament_StopWatchNoCap"		"Erobringstidspunkt ikke angitt ennå"
"[english]Tournament_StopWatchNoCap"		"Capture time not yet set"
"Tournament_StopWatchPointCaptureAttacker"		"Erobre %s1 %s2 for å vinne!"
"[english]Tournament_StopWatchPointCaptureAttacker"		"Capture %s1 %s2 to win!"
"Tournament_StopWatchPointCaptureDefender"		"Forsvar %s1 %s2 for å vinne!"
"[english]Tournament_StopWatchPointCaptureDefender"		"Defend %s1 %s2 to win!"
"Tournament_StopWatchPointCaptureSpectator"		"Angriperne trenger %s1 %s2 for å vinne"
"[english]Tournament_StopWatchPointCaptureSpectator"		"Attackers need %s1 %s2 to win"
"Tournament_StopWatch_Point"		"poeng"
"[english]Tournament_StopWatch_Point"		"point"
"Tournament_StopWatch_Points"		"poeng"
"[english]Tournament_StopWatch_Points"		"points"
"Tournament_StopWatch_TimeVictory"	"Slå tiden til %s1 for å vinne!"
"[english]Tournament_StopWatch_TimeVictory"	"Beat %s1's time to win!"
"Tournament_StopWatch_TimeVictoryDefender"	"Tiden til %s1"
"[english]Tournament_StopWatch_TimeVictoryDefender"	"%s1's time"
"Tournament_StopWatch_LabelDefender"	"Stopp fremrykningen til %s1!"
"[english]Tournament_StopWatch_LabelDefender"	"Stop %s1's advance!"
"Tournament_StopWatch_AttackerScore"	"Slå poengsummen til %s1 for å vinne!"
"[english]Tournament_StopWatch_AttackerScore"	"Beat %s1's score to win!"
"Tournament_StopWatch_GoalTextPointsAndTime"	"%s1 fikk %s2 på bare %s3. Hvis %s4 får %s5 raskere, vinner de!"
"[english]Tournament_StopWatch_GoalTextPointsAndTime"	"%s1 got %s2 in just %s3. If %s4 gets %s5 faster, they win!"
"Tournament_StopWatch_GoalTextPointsAndTime2"	"Hvis %s1 ikke slår tiden til %s2, kan de fortsatt vinne ved å erobre flere punkter. For å vinne må %s3 erobre %s4 før runden er slutt!"
"[english]Tournament_StopWatch_GoalTextPointsAndTime2"	"If %s1 doesn't beat %s2's time, they can still win by capturing more points. To win, %s3 needs to capture %s4 before the round ends!"
"Tournament_StopWatch_GoalTextPoints"	"%s1 erobret ingen punkter forrige runde. Hvis %s2 erobrer 1 punkt, vinner de!"
"[english]Tournament_StopWatch_GoalTextPoints"	"%s1 didn't capture any points last round. If %s2 captures 1 point, they win!"


// Misc. strings
"TF_Gates_90_secs"			"90 sekunder til portene åpnes."
"[english]TF_Gates_90_secs"			"90 seconds till gates open."
"TF_Gates_60_secs"			"60 sekunder til portene åpnes."
"[english]TF_Gates_60_secs"			"60 seconds till gates open."
"TF_Gates_30_secs"			"30 sekunder til portene åpnes."
"[english]TF_Gates_30_secs"			"30 seconds till gates open."
"TF_Gates_10_secs"			"10 sekunder til portene åpnes."
"[english]TF_Gates_10_secs"			"10 seconds till gates open."
"TF_Gates_open"				"Portene er åpne!"
"[english]TF_Gates_open"				"Gates are open !!"
"TF_Time_FiveMinutesLeft"		"Tid som gjenstår:
Fem minutter"
"[english]TF_Time_FiveMinutesLeft"		"Time remaining:
Five minutes"
"TF_Time_FourMinutesLeft"		"Tid som gjenstår:
Fire minutter"
"[english]TF_Time_FourMinutesLeft"		"Time remaining:
Four minutes"
"TF_Time_ThreeMinutesLeft"		"Tid som gjenstår:
Tre minutter"
"[english]TF_Time_ThreeMinutesLeft"		"Time remaining:
Three minutes"
"TF_Time_TwoMinutesLeft"		"Tid som gjenstår:
To minutter"
"[english]TF_Time_TwoMinutesLeft"		"Time remaining:
Two minutes"
"TF_Time_SixtySecondsLeft"		"Tid som gjenstår:
Seksti sekunder"
"[english]TF_Time_SixtySecondsLeft"		"Time remaining:
Sixty seconds"
"TF_Time_ThirtySecondsLeft"		"Tid som gjenstår:
Tretti sekunder"
"[english]TF_Time_ThirtySecondsLeft"		"Time remaining:
Thirty seconds"
"TF_Time_attackers_win"			"Angriperne vinner!
Alle kommandopunktene
er erobret!"
"[english]TF_Time_attackers_win"			"Attackers win !!
The command points have
all been captured !!"
"TF_Time_defenders_win"			"Forsvarerne vinner!
Alle kommandopunktene
er forsvart!"
"[english]TF_Time_defenders_win"			"Defenders win !!
The command points have
been successfully defended !!"

// Attack/Defend strings
"TF_AD_TakeFlagToPoint"			"Ta flagget med til
kommandopunktet."
"[english]TF_AD_TakeFlagToPoint"			"Take the flag to
the Command Point."
"TF_AD_YouSecuredPoint"			"Du sikret
kommandopunkt %s1 !"
"[english]TF_AD_YouSecuredPoint"			"You secured
Command Point %s1 !!"
"TF_AD_AttackersSecuredPoint"		"Angriperne sikret
kommandopunkt %s1 !"
"[english]TF_AD_AttackersSecuredPoint"		"Attackers Secured
Command Point %s1 !!"
"TF_AD_FlagReturned"			"Flagget er returnert til basen."
"[english]TF_AD_FlagReturned"			"Flag has returned to base."

// CTF strings
"TF_CTF_PlayerPickup"		"Du PLUKKET OPP FIENDENS ETTERRETNING!

Tilbake til BASEN!"
"[english]TF_CTF_PlayerPickup"		"You PICKED UP the ENEMY INTELLIGENCE!

Return to BASE!"
"TF_CTF_PlayerTeamPickup"	"Laget ditt PLUKKET OPP FIENDENS ETTERRETNING!"
"[english]TF_CTF_PlayerTeamPickup"	"Your team PICKED UP the ENEMY INTELLIGENCE!"
"TF_CTF_OtherTeamPickup"	"Din ETTERRETNING har blitt PLUKKET OPP!"
"[english]TF_CTF_OtherTeamPickup"	"Your INTELLIGENCE has been PICKED UP!"

"TF_CTF_PlayerCapture"		"Du EROBRET FIENDENS ETTERRETNING!"
"[english]TF_CTF_PlayerCapture"		"You CAPTURED the ENEMY INTELLIGENCE!"
"TF_CTF_PlayerTeamCapture"	"Laget ditt EROBRET FIENDENS ETTERRETNING!"
"[english]TF_CTF_PlayerTeamCapture"	"Your team CAPTURED the ENEMY INTELLIGENCE!"
"TF_CTF_OtherTeamCapture"	"ETTERRETNINGEN din ble EROBRET!"
"[english]TF_CTF_OtherTeamCapture"	"Your INTELLIGENCE was CAPTURED!"

"TF_CTF_PlayerDrop"		"Du mistet FIENDENS ETTERRETNING!"
"[english]TF_CTF_PlayerDrop"		"You dropped the ENEMY INTELLIGENCE!"
"TF_CTF_PlayerTeamDrop"		"FIENDENS ETTERRETNING ble mistet!"
"[english]TF_CTF_PlayerTeamDrop"		"The ENEMY INTELLIGENCE was dropped!"
"TF_CTF_OtherTeamDrop"		"ETTERRETNINGEN din har blitt mistet!"
"[english]TF_CTF_OtherTeamDrop"		"Your INTELLIGENCE has been dropped!"

"TF_CTF_PlayerTeamReset"	"ETTERRETNINGEN din har blitt returnert!"
"[english]TF_CTF_PlayerTeamReset"	"Your INTELLIGENCE has been returned!"
"TF_CTF_OtherTeamReset"		"FIENDENS ETTERRETNING ble returnert!"
"[english]TF_CTF_OtherTeamReset"		"The ENEMY INTELLIGENCE was returned!"

"TF_CTF_Wrong_Goal"		"Ta ETTERRETNINGEN med tilbake til BASEN."
"[english]TF_CTF_Wrong_Goal"		"Take the INTELLIGENCE back to YOUR BASE."

"TF_CTF_No_Invuln"			"Du kan ikke være USÅRBAR mens du bærer FIENDENS ETTERRETNING!"
"[english]TF_CTF_No_Invuln"			"You cannot be INVULNERABLE while carrying the ENEMY INTELLIGENCE!"
"TF_CTF_No_Tele"			"Du kan ikke TELEPORTERE mens du bærer FIENDENS ETTERRETNING!"
"[english]TF_CTF_No_Tele"			"You cannot TELEPORT while carrying the ENEMY INTELLIGENCE!"

"Team_Capture_Linear"		"Forrige
punkt
ikke eid."
"[english]Team_Capture_Linear"		"Preceding
point
not owned!"
"Team_Capture_Blocked"		"Erobring
blokkert
av fiende"
"[english]Team_Capture_Blocked"		"Capture
blocked
by enemy"
"Team_Blocking_Capture"		"Blokkerer
fiendens
erobring."
"[english]Team_Blocking_Capture"		"Blocking
enemy
capture!"
"Team_Reverting_Capture"	"Snur
erobring!"
"[english]Team_Reverting_Capture"	"Reverting
capture!"
"Team_Waiting_for_teammate"	"Venter på
lagkamerat"
"[english]Team_Waiting_for_teammate"	"Waiting for
teammate"
"Team_Cannot_Capture"		"Laget ditt kan ikke
erobre dette!"
"[english]Team_Cannot_Capture"		"Your team can't
capture this!"
"Team_Capture_OwnPoint"		"Forsvar
dette punktet."
"[english]Team_Capture_OwnPoint"		"Defend
this point."
"Team_Capture_NotNow"		"Ingen erobring
nå."
"[english]Team_Capture_NotNow"		"No capturing
at this time."
"Team_Capture_Owned"		"Erobringspunkt
eies allerede."
"[english]Team_Capture_Owned"		"Capture Point
already owned."
"Team_Progress_Blocked"		"Fremmarsj
blokkert
av fiende"
"[english]Team_Progress_Blocked"		"Progress
blocked
by enemy"

"Cant_cap_stealthed"		"Kan ikke erobre punktet
    når du sniker."
"[english]Cant_cap_stealthed"		"Cannot capture point
    while stealthed."
"Cant_cap_disguised"		"Kan ikke erobre punktet
    når du er forkledt."
"[english]Cant_cap_disguised"		"Cannot capture point
    while disguised."
"Cant_cap_invuln"		"Kan ikke erobre punktet
  når du er usårbar."
"[english]Cant_cap_invuln"		"Cannot capture point
  while invulnerable."
"Cant_cap_stunned"		"Kan ikke erobre punktet
 når du er satt ut av spill." 
"[english]Cant_cap_stunned"		"Cannot capture point
    while stunned." 

// Invade strings
"TF_Invade_FlagReturned"		"FLAGGET er returnert!"
"[english]TF_Invade_FlagReturned"		"The FLAG has returned!"
"TF_Invade_PlayerPickup"		"Du PLUKKET OPP FLAGGET!

Ta det med til FIENDENS BASE!"
"[english]TF_Invade_PlayerPickup"		"You PICKED UP the FLAG!

Take it to the ENEMY BASE!"
"TF_Invade_PlayerTeamPickup"		"Laget ditt PLUKKET OPP FLAGGET!"
"[english]TF_Invade_PlayerTeamPickup"		"Your team PICKED UP the FLAG!"
"TF_Invade_OtherTeamPickup"		"FIENDEN har PLUKKET OPP FLAGGET!"
"[english]TF_Invade_OtherTeamPickup"		"The ENEMY has PICKED UP the FLAG!"
"TF_Invade_PlayerCapture"		"Du EROBRET FLAGGET!"
"[english]TF_Invade_PlayerCapture"		"You CAPTURED the FLAG!"
"TF_Invade_PlayerTeamCapture"		"Laget ditt EROBRET FLAGGET!"
"[english]TF_Invade_PlayerTeamCapture"		"Your team CAPTURED the FLAG!"
"TF_Invade_OtherTeamCapture"		"FIENDEN EROBRET FLAGGET!"
"[english]TF_Invade_OtherTeamCapture"		"The ENEMY CAPTURED the FLAG!"
"TF_Invade_PlayerFlagDrop"		"Du mistet FLAGGET!"
"[english]TF_Invade_PlayerFlagDrop"		"You dropped the FLAG!"
"TF_Invade_FlagDrop"			"FLAGGET ble mistet!"
"[english]TF_Invade_FlagDrop"			"The FLAG was dropped!"
"TF_Invade_Wrong_Goal"			"Ta flagget til FIENDENS BASE."
"[english]TF_Invade_Wrong_Goal"			"Take the flag to the ENEMY BASE."
"TF_Invade_FlagNeutral"			"FLAGGET har blitt NØYTRALT!
Ta FLAGGET!"
"[english]TF_Invade_FlagNeutral"			"The FLAG has become NEUTRAL!
Get the FLAG!"

"TF_Flag_AltFireToDrop"			"Trykk på ALT-SKYT for å miste flagget."
"[english]TF_Flag_AltFireToDrop"			"Press ALT-FIRE to drop the flag."

"FreezePanel_NoKiller"			"Du ble drept"
"[english]FreezePanel_NoKiller"			"You were killed"
"FreezePanel_Killer"			"Du ble drept av"
"[english]FreezePanel_Killer"			"You were killed by"
"FreezePanel_Killer_Dead"		"Du ble drept av den avdøde"
"[english]FreezePanel_Killer_Dead"		"You were killed by the late"
"FreezePanel_Nemesis"			"Du ble drept igjen av"
"[english]FreezePanel_Nemesis"			"You were killed again by"
"FreezePanel_Nemesis_Dead"		"Du ble drept igjen av den avdøde"
"[english]FreezePanel_Nemesis_Dead"		"You were killed again by the late"
"FreezePanel_KillerObject"		"Du ble drept av %objectkiller% til"
"[english]FreezePanel_KillerObject"		"You were killed by the %objectkiller% of"
"FreezePanel_KillerObject_Dead"		"Du ble drept av %objectkiller% til den avdøde"
"[english]FreezePanel_KillerObject_Dead"		"You were killed by the %objectkiller% of the late"
"FreezePanel_KillerHealth"		"Gjenværende helse: %s1"
"[english]FreezePanel_KillerHealth"		"Health left: %s1"
"FreezePanel_Callout"			"En del av deg!"
"[english]FreezePanel_Callout"			"A bit of you!"
"FreezePanel_Callout2"			"En del til!"
"[english]FreezePanel_Callout2"			"Another bit!"
"FreezePanel_Callout3"			"Flere deler!"
"[english]FreezePanel_Callout3"			"More bits!"
"FreezePanel_Item"				"%killername% bærer:"
"[english]FreezePanel_Item"				"%killername% is carrying:"

"Callout_Ragdoll"			"Deg!"
"[english]Callout_Ragdoll"			"You!"
"Callout_Head"				"Hodet ditt!"
"[english]Callout_Head"				"Your head!"
"Callout_Foot"				"Foten din!"
"[english]Callout_Foot"				"Your foot!"
"Callout_Hand"				"Hånden din!"
"[english]Callout_Hand"				"Your hand!"
"Callout_Torso"				"Torsoen din!"
"[english]Callout_Torso"				"Your torso!"
"Callout_Organ1"			"Milten din!"
"[english]Callout_Organ1"			"Your spleen!"
"Callout_Organ2"			"Lungene dine!"
"[english]Callout_Organ2"			"Your lungs!"
"Callout_Organ3"			"Leveren din!"
"[english]Callout_Organ3"			"Your liver!"
"Callout_Organ4"			"Bukspyttkjertelen din!"
"[english]Callout_Organ4"			"Your pancreas!"
"Callout_Organ5"			"Nyren din!"
"[english]Callout_Organ5"			"Your kidney!"
"Callout_Organ6"			"Blindtarmen din!"
"[english]Callout_Organ6"			"Your appendix!"

"WaitingForPlayersPanel_WaitOnPlayers"	"Venter på andre spillere"
"[english]WaitingForPlayersPanel_WaitOnPlayers"	"Waiting for other players"
"WaitingForPlayersPanel_WaitEnding"		"Starter spill"
"[english]WaitingForPlayersPanel_WaitEnding"		"Starting Game"

"ControlPointIconCappers" 		"x%numcappers%"
"[english]ControlPointIconCappers" 		"x%numcappers%"

"game_WaitingForPlayers"				"Venter på spillere"
"[english]game_WaitingForPlayers"				"Waiting For Players"
"game_Overtime"				"Overtid"
"[english]game_Overtime"				"Overtime"
"game_Setup"				"Installasjon"
"[english]game_Setup"				"Setup"
"EnterStalemate"			"Sudden Death-modus!
Slutt på gjenoppliving!"
"[english]EnterStalemate"			"Sudden Death Mode!
No more respawning!"
"game_SuddenDeath"			"Sudden Death"
"[english]game_SuddenDeath"			"Sudden Death"
"game_stalemate_cant_change_class"	"%s1 sekunder er gått.
Du kan ikke skifte klasse i Sudden Death-modus nå!"
"[english]game_stalemate_cant_change_class"	"%s1 seconds have passed.
You can't change class in Sudden Death Mode now!"

"TF_CantChangeClassNow"			"Du kan ikke skifte klasse nå."
"[english]TF_CantChangeClassNow"			"You can't change class at this time."
"TF_CantChangeTeamNow"			"Du kan ikke skifte lag nå."
"[english]TF_CantChangeTeamNow"			"You can't change team at this time."

//----------------------------------------------------------------------------------------
// Intro

"Gametype_CTF"				"Ta flagget"
"[english]Gametype_CTF"				"Capture the Flag"
"Gametype_CP"				"Kontrollpunkter"
"[english]Gametype_CP"				"Control Points"
"Gametype_Escort"			"Nyttelast"
"[english]Gametype_Escort"			"Payload"
"Gametype_Arena"			"Arena"
"[english]Gametype_Arena"			"Arena"
"Gametype_EscortRace"		"Nyttelastkappløp"
"[english]Gametype_EscortRace"		"Payload Race"
"Gametype_Koth"				"Kongen på haugen"
"[english]Gametype_Koth"				"King of the Hill"

"Intro_Title"				"Introduksjon av spillmodus:   %gamemode%"
"[english]Intro_Title"				"Game Mode Introduction:   %gamemode%"

"Intro_CaptureIntro"                    "Velkommen til introduksjonen av spillmodusen Erobringspunkt."
"[english]Intro_CaptureIntro"                    "Welcome to the Capture Point game mode introduction."
"Intro_capturepoints"			"Laget ditt må eie fem erobringspunkter for å vinne.
Skjermen viser hvilket lag som eier hvert erobringspunkt."
"[english]Intro_capturepoints"			"Your team must own 5 Capture Points to win.
The HUD shows which team owns each capture point."
"Intro_fakecapture"			"Stå nær erobringspunktet for å erobre det.
Skjermen viser progresjonen for erobringen."
"[english]Intro_fakecapture"			"Stand near the Capture Point to capture it.
The HUD shows your capture progress."
"Intro_multcapture"			"Flere lagmedlemmer erobrer punkter raskere!
Hjelp laget ditt!"
"[english]Intro_multcapture"			"Multiple team members capture points faster!
Help your team out!"
"Intro_yourpoint"			"Ikke la fienden erobre det siste punktet ditt!
Forsvar det, ellers taper du!"
"[english]Intro_yourpoint"			"Don't let the enemy capture your last point!
Defend it or you lose!"

// Capture the Files Intro
"Intro_ctf_intro"		"Introduksjon av spillmodus: Hvert lag må erobre fiendens hemmelige filer, samtidig som de forsvarer sine egne."
"[english]Intro_ctf_intro"		"Game Mode Introduction: Each team must capture the enemy's secret files, while defending their own."
"Intro_ctf_red_assault_base"	"Angrip fiendens base for å stjele de hemmelige filene deres."
"[english]Intro_ctf_red_assault_base"	"Assault the enemy base to steal their secret files."
"Intro_ctf_red_steal_files"	"Stjel kofferten fra kjelleren i fiendens base."
"[english]Intro_ctf_red_steal_files"	"Steal the briefcase from the basement of the enemy base."
"Intro_ctf_red_return_and_cap"	"Ta kofferten med tilbake til skrivebordet i kjelleren til laget ditt for å erobre den og få poeng."
"[english]Intro_ctf_red_return_and_cap"	"Return the briefcase to the desk in your team's basement to capture it and score."
"Intro_ctf_red_defend"	"Ikke glem å hjelpe til med å forsvare kofferten til ditt eget lag fra fienden!"
"[english]Intro_ctf_red_defend"	"Don't forget to help defend your team's briefcase from the enemy!"
"Intro_ctf_blue_assault_base"	"Angrip fiendens base for å stjele de hemmelige filene deres."
"[english]Intro_ctf_blue_assault_base"	"Assault the enemy base to steal their secret files."
"Intro_ctf_blue_steal_files"	"Stjel kofferten fra kjelleren i fiendens base."
"[english]Intro_ctf_blue_steal_files"	"Steal the briefcase from the basement of the enemy base."
"Intro_ctf_blue_return_and_cap"	"Ta kofferten med tilbake til skrivebordet i kjelleren til laget ditt for å erobre den og få poeng."
"[english]Intro_ctf_blue_return_and_cap"	"Return the briefcase to the desk in your team's basement to capture it and score."
"Intro_ctf_blue_defend"	"Ikke glem å hjelpe til med å forsvare kofferten til ditt eget lag fra fienden!"
"[english]Intro_ctf_blue_defend"	"Don't forget to help defend your team's briefcase from the enemy!"


// Gravelpit intro

"Intro_attack_defense_intro"		"Dette er et kart over angrep og forsvar. 
BLU prøver å erobre områder, mens RED prøver å stoppe dem."
"[english]Intro_attack_defense_intro"		"This is an attack defense map,  
BLU tries to capture areas while RED tries to stop them."
"Intro_attack_defense_capping"		"BLU må stå nær erobringspunktet for å erobre det.
Skjermen viser progresjonen for erobringen."
"[english]Intro_attack_defense_capping"		"BLU must stand near the Capture Point to capture it.
The HUD shows your capture progress."
"Intro_attack_defense_cap_a"		"BLU må erobre både erobringspunkt A ..."
"[english]Intro_attack_defense_cap_a"		"BLU must capture both Capture point A ..."
"Intro_attack_defense_cap_b"		"og erobringspunkt B.    
BLU kan erobre punktene i hvilken som helst rekkefølge." 
"[english]Intro_attack_defense_cap_b"		"and also Capture point B.  
BLU can capture the points in any order." 
"Intro_attack_defense_cap_final"	"Når BLU eier både erobringspunkt A og B, låses det siste erobringspunktet opp."
"[english]Intro_attack_defense_cap_final"	"After BLU owns capture point A and capture point B the final Capture point unlocks"
"Intro_attack_defense_cap_timer"        "BLU får 3 minutter på tidsuret for hvert erobrede punkt. RED kan ikke erobre punkter tilbake når BLU først eier dem."
"[english]Intro_attack_defense_cap_timer"        "BLU earns 3 minutes on the timer for each succesful captured point. RED cannot capture points back once BLU own them."



//----------------------------------------------------------------------------------------
// Hints
"Hint_spotted_a_friend"				"Du har oppdaget en lagkamerat!"
"[english]Hint_spotted_a_friend"				"You have spotted a teammate!"
"Hint_spotted_an_enemy"				"Du har oppdaget en fiende!"
"[english]Hint_spotted_an_enemy"				"You have spotted an enemy!"
"Hint_killing_enemies_is_good"		"Du drepte en fiende!"
"[english]Hint_killing_enemies_is_good"		"You killed an enemy!"
"Hint_out_of_ammo"					"Våpenet er tomt for ammo."
"[english]Hint_out_of_ammo"					"Your weapon is out of ammo!"
"Hint_turn_off_hints"				"Du kan slå av hintene i alternativmenyen
 under Alternativer -> Flerspiller -> Avansert -> Automatisk hjelp"
"[english]Hint_turn_off_hints"				"You can turn off hints in the options menu,
 under Options -> Multiplayer -> Advanced -> 'Auto Help'"
"Hint_pickup_ammo"					"Plukk opp ammunisjon fra falne våpen!"
"[english]Hint_pickup_ammo"					"Pick up ammo from fallen weapons!"

"Hint_Cannot_Teleport_With_Flag"	"Du kan ikke teleportere når du har kofferten."
"[english]Hint_Cannot_Teleport_With_Flag"	"You cannot teleport when you have the briefcase."
"Hint_Cannot_Cloak_With_Flag"		"Du kan ikke skjule deg når du har kofferten."
"[english]Hint_Cannot_Cloak_With_Flag"		"You cannot cloak when you have the briefcase."
"Hint_Cannot_Disguise_With_Flag"	"Du kan ikke forkle deg når du har kofferten."
"[english]Hint_Cannot_Disguise_With_Flag"	"You cannot disguise when you have the briefcase."
"Hint_Cannot_Attack_While_Cloaked"	"Du kan ikke angripe når du er skjult."
"[english]Hint_Cannot_Attack_While_Cloaked"	"You cannot attack while cloaked."
"Hint_Cannot_Invuln_With_Flag"		"Du kan ikke bli usårbar når du har kofferten."
