"lang" 
{ 
"Language" "swedish" 
"Tokens" 
{ 
// Teams
"TF_AutoAssign" 			"&1 TILLDELA AUTOMATISKT"
"Tournament_StopWatch_LabelDefender"	"Stoppa %s1s framsteg!"
"[english]Tournament_StopWatch_LabelDefender"	"Stop %s1's advance!"
"Tournament_StopWatch_AttackerScore"	"Slå %s1s poäng för att vinna!"
"[english]Tournament_StopWatch_AttackerScore"	"Beat %s1's score to win!"
"Tournament_StopWatch_GoalTextPointsAndTime"	"%s1 tog %s2 på bara %s3. Om %s4 tar %s5 snabbare vinner de!"
"[english]Tournament_StopWatch_GoalTextPointsAndTime"	"%s1 got %s2 in just %s3. If %s4 gets %s5 faster, they win!"
"Tournament_StopWatch_GoalTextPointsAndTime2"	"Om %s1 inte slår %s2s tid kan de ändå vinna genom att ta fler poäng. För att vinna måste %s3 erövra %s4 innan omgången tar slut!"
"[english]Tournament_StopWatch_GoalTextPointsAndTime2"	"If %s1 doesn't beat %s2's time, they can still win by capturing more points. To win, %s3 needs to capture %s4 before the round ends!"
"Tournament_StopWatch_GoalTextPoints"	"%s1 tog inga poäng i förra omgången. Om %s2 tar 1 poäng vinner de!"
"[english]Tournament_StopWatch_GoalTextPoints"	"%s1 didn't capture any points last round. If %s2 captures 1 point, they win!"


// Misc. strings
"TF_Gates_90_secs"			"Porten öppnas om 90 sekunder."
"[english]TF_Gates_90_secs"			"90 seconds till gates open."
"TF_Gates_60_secs"			"Porten öppnas om 60 sekunder."
"[english]TF_Gates_60_secs"			"60 seconds till gates open."
"TF_Gates_30_secs"			"Porten öppnas om 30 sekunder."
"[english]TF_Gates_30_secs"			"30 seconds till gates open."
"TF_Gates_10_secs"			"Porten öppnas om 10 sekunder."
"[english]TF_Gates_10_secs"			"10 seconds till gates open."
"TF_Gates_open"				"Porten är öppen !!"
"[english]TF_Gates_open"				"Gates are open !!"
"TF_Time_FiveMinutesLeft"		"Tid som återstår
Fem minuter"
"[english]TF_Time_FiveMinutesLeft"		"Time remaining:
Five minutes"
"TF_Time_FourMinutesLeft"		"Tid som återstår
Fyra minuter"
"[english]TF_Time_FourMinutesLeft"		"Time remaining:
Four minutes"
"TF_Time_ThreeMinutesLeft"		"Tid som återstår
Tre minuter"
"[english]TF_Time_ThreeMinutesLeft"		"Time remaining:
Three minutes"
"TF_Time_TwoMinutesLeft"		"Tid som återstår
Två minuter"
"[english]TF_Time_TwoMinutesLeft"		"Time remaining:
Two minutes"
"TF_Time_SixtySecondsLeft"		"Tid som återstår
Sextio sekunder"
"[english]TF_Time_SixtySecondsLeft"		"Time remaining:
Sixty seconds"
"TF_Time_ThirtySecondsLeft"		"Tid som återstår
Trettio sekunder"
"[english]TF_Time_ThirtySecondsLeft"		"Time remaining:
Thirty seconds"
"TF_Time_attackers_win"			"Anfallarna vinner !!
Kommandopunkterna har
alla erövrats !!"
"[english]TF_Time_attackers_win"			"Attackers win !!
The command points have
all been captured !!"
"TF_Time_defenders_win"			"Försvararna vinner !!
Kommandopunkterna har
framgångsrikt försvarats !!"
"[english]TF_Time_defenders_win"			"Defenders win !!
The command points have
been successfully defended !!"

// Attack/Defend strings
"TF_AD_TakeFlagToPoint"			"Ta flaggan till
kommandopunkten."
"[english]TF_AD_TakeFlagToPoint"			"Take the flag to
the Command Point."
"TF_AD_YouSecuredPoint"			"Du säkrade
kommandopunkt %s1 !!"
"[english]TF_AD_YouSecuredPoint"			"You secured
Command Point %s1 !!"
"TF_AD_AttackersSecuredPoint"		"Anfallarna säkrade
kommandopunkt %s1 !!"
"[english]TF_AD_AttackersSecuredPoint"		"Attackers Secured
Command Point %s1 !!"
"TF_AD_FlagReturned"			"Flaggan är tillbaka vid basen."
"[english]TF_AD_FlagReturned"			"Flag has returned to base."

// CTF strings
"TF_CTF_PlayerPickup"		"Du TOG FIENDENS INFORMATION!

Åter till BASEN!"
"[english]TF_CTF_PlayerPickup"		"You PICKED UP the ENEMY INTELLIGENCE!

Return to BASE!"
"TF_CTF_PlayerTeamPickup"	"Ditt lag TOG FIENDENS INFORMATION!"
"[english]TF_CTF_PlayerTeamPickup"	"Your team PICKED UP the ENEMY INTELLIGENCE!"
"TF_CTF_OtherTeamPickup"	"Din INFORMATION är TAGEN!"
"[english]TF_CTF_OtherTeamPickup"	"Your INTELLIGENCE has been PICKED UP!"

"TF_CTF_PlayerCapture"		"Du ERÖVRADE FIENDENS INFORMATION!"
"[english]TF_CTF_PlayerCapture"		"You CAPTURED the ENEMY INTELLIGENCE!"
"TF_CTF_PlayerTeamCapture"	"Ditt lag ERÖVRADE FIENDENS INFORMATION!"
"[english]TF_CTF_PlayerTeamCapture"	"Your team CAPTURED the ENEMY INTELLIGENCE!"
"TF_CTF_OtherTeamCapture"	"Din INFORMATION är ERÖVRAD!"
"[english]TF_CTF_OtherTeamCapture"	"Your INTELLIGENCE was CAPTURED!"

"TF_CTF_PlayerDrop"		"Du släppte FIENDENS INFORMATION!"
"[english]TF_CTF_PlayerDrop"		"You dropped the ENEMY INTELLIGENCE!"
"TF_CTF_PlayerTeamDrop"		"FIENDENS INFORMATION släpptes!"
"[english]TF_CTF_PlayerTeamDrop"		"The ENEMY INTELLIGENCE was dropped!"
"TF_CTF_OtherTeamDrop"		"Din INFORMATION har släppts!"
"[english]TF_CTF_OtherTeamDrop"		"Your INTELLIGENCE has been dropped!"

"TF_CTF_PlayerTeamReset"	"Din INFORMATION har återförts!"
"[english]TF_CTF_PlayerTeamReset"	"Your INTELLIGENCE has been returned!"
"TF_CTF_OtherTeamReset"		"FIENDENS INFORMATION har återförts!"
"[english]TF_CTF_OtherTeamReset"		"The ENEMY INTELLIGENCE was returned!"

"TF_CTF_Wrong_Goal"		"För INFORMATIONEN tillbaka till DIN BAS."
"[english]TF_CTF_Wrong_Goal"		"Take the INTELLIGENCE back to YOUR BASE."

"TF_CTF_No_Invuln"			"Du kan inte bli OSÅRBAR när du bär på FIENDEINFORMATION!"
"[english]TF_CTF_No_Invuln"			"You cannot be INVULNERABLE while carrying the ENEMY INTELLIGENCE!"
"TF_CTF_No_Tele"			"Du kan inte TELEPORTERA när du bär på FIENDEINFORMATION!"
"[english]TF_CTF_No_Tele"			"You cannot TELEPORT while carrying the ENEMY INTELLIGENCE!"

"Team_Capture_Linear"		"Förra
punkten
ägs inte!"
"[english]Team_Capture_Linear"		"Preceding
point
not owned!"
"Team_Capture_Blocked"		"Erövringen
blockerad
av fiende"
"[english]Team_Capture_Blocked"		"Capture
blocked
by enemy"
"Team_Blocking_Capture"		"Blockerar
fiendens
erövring!"
"[english]Team_Blocking_Capture"		"Blocking
enemy
capture!"
"Team_Reverting_Capture"	"Vänder
erövring!"
"[english]Team_Reverting_Capture"	"Reverting
capture!"
"Team_Waiting_for_teammate"	"Väntar på
lagmedlem"
"[english]Team_Waiting_for_teammate"	"Waiting for
teammate"
"Team_Cannot_Capture"		"Ditt lag kan inte
erövra den här!"
"[english]Team_Cannot_Capture"		"Your team can't
capture this!"
"Team_Capture_OwnPoint"		"Försvara
den här punkten."
"[english]Team_Capture_OwnPoint"		"Defend
this point."
"Team_Capture_NotNow"		"Ingen erövring
just nu."
"[english]Team_Capture_NotNow"		"No capturing
at this time."
"Team_Capture_Owned"		"Erövringspunkt
redan tagen."
"[english]Team_Capture_Owned"		"Capture Point
already owned."
"Team_Progress_Blocked"		"Framsteg
blockeras
av fienden"
"[english]Team_Progress_Blocked"		"Progress
blocked
by enemy"

"Cant_cap_stealthed"		"Det går inte att erövra punkten
    vid smygning."
"[english]Cant_cap_stealthed"		"Cannot capture point
    while stealthed."
"Cant_cap_disguised"		"Det går inte att erövra punkten
    vid förklädnad."
"[english]Cant_cap_disguised"		"Cannot capture point
    while disguised."
"Cant_cap_invuln"		"Det går inte att erövra punkten
  vid osårbarhet."
"[english]Cant_cap_invuln"		"Cannot capture point
  while invulnerable."
"Cant_cap_stunned"		"Det går inte att erövra punkten
  vid bedövning." 
"[english]Cant_cap_stunned"		"Cannot capture point
    while stunned." 

// Invade strings
"TF_Invade_FlagReturned"		"FLAGGAN har återförts!"
"[english]TF_Invade_FlagReturned"		"The FLAG has returned!"
"TF_Invade_PlayerPickup"		"Du TOG FLAGGAN!

Ta den till FIENDEBASEN!"
"[english]TF_Invade_PlayerPickup"		"You PICKED UP the FLAG!

Take it to the ENEMY BASE!"
"TF_Invade_PlayerTeamPickup"		"Ditt lag TOG FLAGGAN!"
"[english]TF_Invade_PlayerTeamPickup"		"Your team PICKED UP the FLAG!"
"TF_Invade_OtherTeamPickup"		"FIENDEN har TAGIT FLAGGAN!"
"[english]TF_Invade_OtherTeamPickup"		"The ENEMY has PICKED UP the FLAG!"
"TF_Invade_PlayerCapture"		"Du ERÖVRADE FLAGGAN!"
"[english]TF_Invade_PlayerCapture"		"You CAPTURED the FLAG!"
"TF_Invade_PlayerTeamCapture"		"Ditt lag ERÖVRADE FLAGGAN!"
"[english]TF_Invade_PlayerTeamCapture"		"Your team CAPTURED the FLAG!"
"TF_Invade_OtherTeamCapture"		"FIENDEN ERÖVRADE FLAGGAN!"
"[english]TF_Invade_OtherTeamCapture"		"The ENEMY CAPTURED the FLAG!"
"TF_Invade_PlayerFlagDrop"		"Du släppte FLAGGAN!"
"[english]TF_Invade_PlayerFlagDrop"		"You dropped the FLAG!"
"TF_Invade_FlagDrop"			"FLAGGAN släpptes!"
"[english]TF_Invade_FlagDrop"			"The FLAG was dropped!"
"TF_Invade_Wrong_Goal"			"Ta flaggan till FIENDEBASEN."
"[english]TF_Invade_Wrong_Goal"			"Take the flag to the ENEMY BASE."
"TF_Invade_FlagNeutral"			"FLAGGAN har blivit NEUTRAL!
Ta FLAGGAN!"
"[english]TF_Invade_FlagNeutral"			"The FLAG has become NEUTRAL!
Get the FLAG!"

"TF_Flag_AltFireToDrop"			"Släpp flaggan genom att trycka ALT-ELD."
"[english]TF_Flag_AltFireToDrop"			"Press ALT-FIRE to drop the flag."

"FreezePanel_NoKiller"			"Du dödades"
"[english]FreezePanel_NoKiller"			"You were killed"
"FreezePanel_Killer"			"Du dödades av"
"[english]FreezePanel_Killer"			"You were killed by"
"FreezePanel_Killer_Dead"		"Du dödades av den döde"
"[english]FreezePanel_Killer_Dead"		"You were killed by the late"
"FreezePanel_Nemesis"			"Du dödades igen av"
"[english]FreezePanel_Nemesis"			"You were killed again by"
"FreezePanel_Nemesis_Dead"		"Du dödades igen av den döde"
"[english]FreezePanel_Nemesis_Dead"		"You were killed again by the late"
"FreezePanel_KillerObject"		"Du dödades av %objectkiller% av"
"[english]FreezePanel_KillerObject"		"You were killed by the %objectkiller% of"
"FreezePanel_KillerObject_Dead"		"Du dödades av %objectkiller% av den döde"
"[english]FreezePanel_KillerObject_Dead"		"You were killed by the %objectkiller% of the late"
"FreezePanel_KillerHealth"		"Återstående hälsa: %s1"
"[english]FreezePanel_KillerHealth"		"Health left: %s1"
"FreezePanel_Callout"			"En bit av dig!"
"[english]FreezePanel_Callout"			"A bit of you!"
"FreezePanel_Callout2"			"En bit till!"
"[english]FreezePanel_Callout2"			"Another bit!"
"FreezePanel_Callout3"			"Fler bitar!"
"[english]FreezePanel_Callout3"			"More bits!"
"FreezePanel_Item"				"%killername% är utrustad med:"
"[english]FreezePanel_Item"				"%killername% is carrying:"

"Callout_Ragdoll"			"Du!"
"[english]Callout_Ragdoll"			"You!"
"Callout_Head"				"Ditt huvud!"
"[english]Callout_Head"				"Your head!"
"Callout_Foot"				"Din fot!"
"[english]Callout_Foot"				"Your foot!"
"Callout_Hand"				"Din hand!"
"[english]Callout_Hand"				"Your hand!"
"Callout_Torso"				"Din bål!"
"[english]Callout_Torso"				"Your torso!"
"Callout_Organ1"			"Din mjälte!"
"[english]Callout_Organ1"			"Your spleen!"
"Callout_Organ2"			"Dina lungor!"
"[english]Callout_Organ2"			"Your lungs!"
"Callout_Organ3"			"Din lever!"
"[english]Callout_Organ3"			"Your liver!"
"Callout_Organ4"			"Din bukspottkörtel!"
"[english]Callout_Organ4"			"Your pancreas!"
"Callout_Organ5"			"Dina njurar!"
"[english]Callout_Organ5"			"Your kidney!"
"Callout_Organ6"			"Din blindtarm!"
"[english]Callout_Organ6"			"Your appendix!"

"WaitingForPlayersPanel_WaitOnPlayers"	"Väntar på andra spelare"
"[english]WaitingForPlayersPanel_WaitOnPlayers"	"Waiting for other players"
"WaitingForPlayersPanel_WaitEnding"		"Startar spelet"
"[english]WaitingForPlayersPanel_WaitEnding"		"Starting Game"

"ControlPointIconCappers" 		"x%numcappers%"
"[english]ControlPointIconCappers" 		"x%numcappers%"

"game_WaitingForPlayers"				"Väntar på spelare"
"[english]game_WaitingForPlayers"				"Waiting For Players"
"game_Overtime"				"Förlängning"
"[english]game_Overtime"				"Overtime"
"game_Setup"				"Konfigurering"
"[english]game_Setup"				"Setup"
"EnterStalemate"			"Sudden Death-läge!
Inget mer återskapande!"
"[english]EnterStalemate"			"Sudden Death Mode!
No more respawning!"
"game_SuddenDeath"			"Sudden Death"
"[english]game_SuddenDeath"			"Sudden Death"
"game_stalemate_cant_change_class"	"%s1 sekunder har gått.
Du kan inte byta klass i Sudden Death-läget nu!"
"[english]game_stalemate_cant_change_class"	"%s1 seconds have passed.
You can't change class in Sudden Death Mode now!"

"TF_CantChangeClassNow"			"Du kan inte byta klass nu."
"[english]TF_CantChangeClassNow"			"You can't change class at this time."
"TF_CantChangeTeamNow"			"Du kan inte byta lag nu."
"[english]TF_CantChangeTeamNow"			"You can't change team at this time."

//----------------------------------------------------------------------------------------
// Intro

"Gametype_CTF"				"Erövra flaggan"
"[english]Gametype_CTF"				"Capture the Flag"
"Gametype_CP"				"Kontrollpunkter"
"[english]Gametype_CP"				"Control Points"
"Gametype_Escort"			"Bomb"
"[english]Gametype_Escort"			"Payload"
"Gametype_Arena"			"Arena"
"[english]Gametype_Arena"			"Arena"
"Gametype_EscortRace"		"Bombloppet"
"[english]Gametype_EscortRace"		"Payload Race"
"Gametype_Koth"				"Herre på täppan"
"[english]Gametype_Koth"				"King of the Hill"

"Intro_Title"				"Spellägesinledning:   %gamemode%"
"[english]Intro_Title"				"Game Mode Introduction:   %gamemode%"

"Intro_CaptureIntro"                    "Välkommen till inledningen för spelläget Capture Point."
"[english]Intro_CaptureIntro"                    "Welcome to the Capture Point game mode introduction."
"Intro_capturepoints"			"Ditt lag måste äga 5 erövringspunkter för att vinna.
På HUD visas vilket lag som äger erövringspunkterna."
"[english]Intro_capturepoints"			"Your team must own 5 Capture Points to win.
The HUD shows which team owns each capture point."
"Intro_fakecapture"			"Erövra erövringspunkten genom att stå nära den.
På HUD visas dina erövringsframsteg."
"[english]Intro_fakecapture"			"Stand near the Capture Point to capture it.
The HUD shows your capture progress."
"Intro_multcapture"			"Flera lagmedlemmar kan fortare erövra punkter!
Hjälp ditt lag!"
"[english]Intro_multcapture"			"Multiple team members capture points faster!
Help your team out!"
"Intro_yourpoint"			"Låt inte fienden erövra din sista punkt!
Försvara den eller förlora!"
"[english]Intro_yourpoint"			"Don't let the enemy capture your last point!
Defend it or you lose!"

// Capture the Files Intro
"Intro_ctf_intro"		"Spellägesinledning: Varje lag måste erövra fiendens hemliga arkiv och försvara sina egna."
"[english]Intro_ctf_intro"		"Game Mode Introduction: Each team must capture the enemy's secret files, while defending their own."
"Intro_ctf_red_assault_base"	"Anfall fiendebasen och stjäl deras hemliga arkiv."
"[english]Intro_ctf_red_assault_base"	"Assault the enemy base to steal their secret files."
"Intro_ctf_red_steal_files"	"Stjäl portföljen från fiendebasens källare."
"[english]Intro_ctf_red_steal_files"	"Steal the briefcase from the basement of the enemy base."
"Intro_ctf_red_return_and_cap"	"Erövra portföljen och ta poäng genom att återföra den till skrivbordet i ditt lags källare."
"[english]Intro_ctf_red_return_and_cap"	"Return the briefcase to the desk in your team's basement to capture it and score."
"Intro_ctf_red_defend"	"Glöm inte att hjälpa till att försvara ditt lags portfölj mot fienden!"
"[english]Intro_ctf_red_defend"	"Don't forget to help defend your team's briefcase from the enemy!"
"Intro_ctf_blue_assault_base"	"Anfall fiendebasen och stjäl deras hemliga arkiv."
"[english]Intro_ctf_blue_assault_base"	"Assault the enemy base to steal their secret files."
"Intro_ctf_blue_steal_files"	"Stjäl portföljen från fiendebasens källare."
"[english]Intro_ctf_blue_steal_files"	"Steal the briefcase from the basement of the enemy base."
"Intro_ctf_blue_return_and_cap"	"Erövra portföljen och ta poäng genom att återföra den till skrivbordet i ditt lags källare."
"[english]Intro_ctf_blue_return_and_cap"	"Return the briefcase to the desk in your team's basement to capture it and score."
"Intro_ctf_blue_defend"	"Glöm inte att hjälpa till att försvara ditt lags portfölj mot fienden!"
"[english]Intro_ctf_blue_defend"	"Don't forget to help defend your team's briefcase from the enemy!"


// Gravelpit intro

"Intro_attack_defense_intro"		"Det här är en anfallsförsvarskarta.  
Lag BLU erövrar områden medan RED försöker stoppa dem."
"[english]Intro_attack_defense_intro"		"This is an attack defense map,  
BLU tries to capture areas while RED tries to stop them."
"Intro_attack_defense_capping"		"BLU måste stå nära erövringspunkten för att erövra den.
På HUD visas dina erövringsframsteg."
"[english]Intro_attack_defense_capping"		"BLU must stand near the Capture Point to capture it.
The HUD shows your capture progress."
"Intro_attack_defense_cap_a"		"BLU måste erövra både punkt A ..."
"[english]Intro_attack_defense_cap_a"		"BLU must capture both Capture point A ..."
"Intro_attack_defense_cap_b"		"och punkt B.    
BLU kan erövra punkterna i valfri ordning." 
"[english]Intro_attack_defense_cap_b"		"and also Capture point B.  
BLU can capture the points in any order." 
"Intro_attack_defense_cap_final"	"När BLU har erövrat punkt A och punkt B låses den sista erövringspunkten upp."
"[english]Intro_attack_defense_cap_final"	"After BLU owns capture point A and capture point B the final Capture point unlocks"
"Intro_attack_defense_cap_timer"        "BLU tjänar tre minuter på klockan för varje erövrad punkt. RED kan inte ta tillbaka punkter när BLU äger dem."
"[english]Intro_attack_defense_cap_timer"        "BLU earns 3 minutes on the timer for each succesful captured point. RED cannot capture points back once BLU own them."



//----------------------------------------------------------------------------------------
// Hints
"Hint_spotted_a_friend"				"Du ser en lagmedlem!"
"[english]Hint_spotted_a_friend"				"You have spotted a teammate!"
"Hint_spotted_an_enemy"				"Du ser en fiende!"
"[english]Hint_spotted_an_enemy"				"You have spotted an enemy!"
"Hint_killing_enemies_is_good"		"Du dödade en fiende!"
"[english]Hint_killing_enemies_is_good"		"You killed an enemy!"
"Hint_out_of_ammo"					"Ditt vapen har slut på ammunition!"
"[english]Hint_out_of_ammo"					"Your weapon is out of ammo!"
"Hint_turn_off_hints"				"Du kan stänga av tipsen på alternativmenyn,
 under Alternativ -> Flera spelare -> Avancerat -> 'Autohjälp'"
"[english]Hint_turn_off_hints"				"You can turn off hints in the options menu,
 under Options -> Multiplayer -> Advanced -> 'Auto Help'"
"Hint_pickup_ammo"					"Plocka upp ammo från tappade vapen!"
"[english]Hint_pickup_ammo"					"Pick up ammo from fallen weapons!"

"Hint_Cannot_Teleport_With_Flag"	"Du kan inte teleportera när du har portföljen."
"[english]Hint_Cannot_Teleport_With_Flag"	"You cannot teleport when you have the briefcase."
"Hint_Cannot_Cloak_With_Flag"		"Du kan inte dölja dig när du har portföljen."
"[english]Hint_Cannot_Cloak_With_Flag"		"You cannot cloak when you have the briefcase."
"Hint_Cannot_Disguise_With_Flag"	"Du kan inte förklä dig när du har portföljen."
"[english]Hint_Cannot_Disguise_With_Flag"	"You cannot disguise when you have the briefcase."
"Hint_Cannot_Attack_While_Cloaked"	"Du kan inte anfalla när du är dold."
"[english]Hint_Cannot_Attack_While_Cloaked"	"You cannot attack while cloaked."
"Hint_Cannot_Invuln_With_Flag"		"Du kan inte bli osårbar när du har portföljen."
"[english]Hint_Cannot_Invuln_With_Flag"		"You cannot go invulnerable when you have the briefcase."
"Hint_Cannot_Attack_While_Feign_Armed"	"Du kan inte anfalla medan Falsk död används."
"[english]Hint_Cannot_Attack_While_Feign_Armed"	"You cannot attack while feign death is armed."
"Hint_Cannot_Arm_Feign_Now"		"Döljningsmätaren måste vara full innan du kan ta Falsk död."
"[english]Hint_Cannot_Arm_Feign_Now"		"You need a full cloak meter to arm feign death."

"Hint_ClassMenu"					"Tryck på '%changeclass%' om du vill byta spelarklass."
"[english]Hint_ClassMenu"					"Press '%changeclass%' to change your player class."

// Altfires
"Hint_altfire_sniperrifle"			"Tryck på '%attack2%' om du vill zooma med krypskyttegeväret."
"[english]Hint_altfire_sniperrifle"			"You can hit '%attack2%' to zoom with your sniper rifle."
"Hint_altfire_grenadelauncher"		"Tryck på '%attack2%' om du vill detonera klisterbomber medan du använder granatkastaren."
"[english]Hint_altfire_grenadelauncher"		"You can hit '%attack2%' to detonate stickybombs even while using your grenade launcher."
"Hint_altfire_pipebomblauncher"		"Tryck på '%attack2%' om du vill detonera klisterbomber du kastat med klisterbombskastaren."
"[english]Hint_altfire_pipebomblauncher"		"You can hit '%attack2%' to detonate stickybombs launched with your stickybomb launcher."
"Hint_altfire_rotate_building"		"Tryck på '%attack2%' om du vill vrida byggnader innan du sätter ut dem."
"[english]Hint_altfire_rotate_building"		"You can hit '%attack2%' to rotate buildings before you place them."

// Soldier specific
"Hint_Soldier_rpg_reload"			"Tryck på '%reload%' om du vill ladda om raketgeväret.
Ladda om det så fort du inte är i strid!"
"[english]Hint_Soldier_rpg_reload"			"Hit '%reload%' to reload your rocket launcher.
Reload it whenever you're out of combat!"

// Engineer specific
"Hint_Engineer_use_wrench_onown"	"Slå på byggobjekt med skiftnyckeln
så byggs de snabbare!"
"[english]Hint_Engineer_use_wrench_onown"	"Hit constructing objects with your wrench
to make them build faster!"
"Hint_Engineer_use_wrench_onother"	"Slå på lagkamraternas byggobjekt med skiftnyckeln
så byggs de snabbare!"
"[english]Hint_Engineer_use_wrench_onother"	"Hit your teammate's constructing objects with your wrench
to help them build faster!"
"Hint_Engineer_build_sentrygun"		"Försvara din bas genom att bygga vaktgevär.
På den fjärde platsen i vapenurvalet finns byggbara objekt."
"[english]Hint_Engineer_build_sentrygun"		"Build sentry guns to defend your team's base.
The fourth slot in your weapon selection holds buildables."
"Hint_Engineer_build_dispenser"		"Hjälp lagkamraterna att fylla på genom att bygga utmatare.
På den fjärde platsen i vapenurvalet finns byggbara objekt."
"[english]Hint_Engineer_build_dispenser"		"Build Dispensers to help your teammates to resupply.
The fourth slot in your weapon selection holds buildables."
"Hint_Engineer_build_teleporters"	"Hjälp laget att försvara främre områden genom att bygga teleportörer.
På den fjärde platsen i vapenurvalet finns byggbara objekt."
"[english]Hint_Engineer_build_teleporters"	"Build Teleporters to help your team defend forward areas.
The fourth slot in your weapon selection holds buildables."
"Hint_Engineer_pickup_metal"		"Plocka upp metall från tappade vapen
att använda när du bygger!"
"[english]Hint_Engineer_pickup_metal"		"Pick up metal from fallen weapons
to use in building objects!"
"Hint_Engineer_repair_object"		"Laga trasiga föremål genom att slå på dem med skiftnyckeln!"
"[english]Hint_Engineer_repair_object"		"Hit damaged objects with your wrench to repair them!"
"Hint_Engineer_metal_to_upgrade"	"Du behöver mer metall för att uppgradera vaktgeväret!"
"[english]Hint_Engineer_metal_to_upgrade"	"You need more metal to upgrade your sentry gun!"
"Hint_Engineer_upgrade_sentrygun"	"Uppgradera vaktgevär genom att slå på dem med skiftnyckeln.
De kan uppgraderas ända till nivå 3!"
"[english]Hint_Engineer_upgrade_sentrygun"	"Upgrade sentry guns by hitting them with your wrench.
They can be upgraded all the way to level 3!"
"Hint_object_has_sapper"		"Byggnaden förstörs av en sapper!
 Förstör sappern genom att skjuta på den!"
"[english]Hint_object_has_sapper"		"This building is being destroyed by a sapper!
 Shoot the sapper to destroy it!"

"Hint_object_your_object_sapped"	"En av dina byggnader förstörs!"	
"[english]Hint_object_your_object_sapped"	"One of your buildings is being destroyed!"	
"Hint_enemy_using_dispenser"		"En fiende använder din utmatare!"
"[english]Hint_enemy_using_dispenser"		"An enemy is using your dispenser!"
"Hint_enemy_using_tp_entrance"		"En fiende är nära din teleportöringång!"
"[english]Hint_enemy_using_tp_entrance"		"An enemy is near your teleporter entrance!"
"Hint_enemy_using_tp_exit"			"En fiende är nära din teleportörutgång!"
"[english]Hint_enemy_using_tp_exit"			"An enemy is near your teleporter exit!"

"WinPanel_Red_Team_Wins"			"Lag RED vinner"
"[english]WinPanel_Red_Team_Wins"			"RED Team Wins"
"WinPanel_Blue_Team_Wins"			"Lag BLU vinner"
"[english]WinPanel_Blue_Team_Wins"			"BLU Team Wins"
"WinPanel_Stalemate"				"DÖDLÄGE!"
"[english]WinPanel_Stalemate"				"STALEMATE!"

"StatPanel_Title_Dead"				"Från den ljusa sidan ..."
"[english]StatPanel_Title_Dead"				"On the bright side..."
"StatPanel_Title_Alive"				"Det var imponerande! Senaste omgången:"
"[english]StatPanel_Title_Alive"				"Well, that was impressive! Last round:"

"StatPanel_Format_Close"			"Den omgången: %s1  Ditt rekord: %s2"
"[english]StatPanel_Format_Close"			"That round: %s1  Your best: %s2"

"StatPanel_Kills_Best"				"Du dödade fler som %s1 i den omgången än ditt rekord."
"[english]StatPanel_Kills_Best"				"You had more kills as %s1 that round than your previous best."
"StatPanel_Captures_Best"			"Du erövrade fler som %s1 i den omgången än ditt rekord."
"[english]StatPanel_Captures_Best"			"You had more captures as %s1 that round than your previous best."
"StatPanel_Defenses_Best"			"Du försvarade fler som %s1 i den omgången än ditt rekord."
"[english]StatPanel_Defenses_Best"			"You defended more points as %s1 that round than your previous best."
"StatPanel_DamageDealt_Best"			"Du har gjort mer skada som %s1 än ditt rekord."
"[english]StatPanel_DamageDealt_Best"			"You've caused more damage as %s1 than your previous best."
"StatPanel_PlayTime_Best"			"Du höll dig levande längre som %s1 i den omgången än ditt rekord."
"[english]StatPanel_PlayTime_Best"			"You stayed alive as %s1 longer that round than your previous best."
"StatPanel_Healing_Best"			"Du helade fler som %s1 i den omgången än ditt rekord."
"[english]StatPanel_Healing_Best"			"You healed more as %s1 that round than your previous best."
"StatPanel_Invulnerable_Best"			"Du var osårbar mer i den omgången än ditt rekord."
"[english]StatPanel_Invulnerable_Best"			"You went invulnerable more that round than your previous best."
"StatPanel_KillAssists_Best"			"Du hade fler dödsassister som %s1 i den omgången än ditt rekord."
"[english]StatPanel_KillAssists_Best"			"You had more kill assists that round as %s1 than your previous best."
"StatPanel_Backstabs_Best"			"Du gjorde fler rygghugg i den omgången än ditt rekord."
"[english]StatPanel_Backstabs_Best"			"You had more backstabs that round than your previous best."
"StatPanel_HealthLeached_Best"			"Du stal mer hälsa från fiendens sjukvårdare och utmatare i den omgången än ditt rekord."
"[english]StatPanel_HealthLeached_Best"			"You stole more health from enemy Medics and dispensers that round than your previous best."
"StatPanel_BuildingsBuilt_Best"			"Du byggde fler byggnader i den omgången än ditt rekord."
"[english]StatPanel_BuildingsBuilt_Best"			"You built more buildings that round than your previous best."
"StatPanel_BuildingsDestroyed_Best"		"Du förstörde fler byggnader som %s1 i den omgången än ditt rekord."
"[english]StatPanel_BuildingsDestroyed_Best"		"You destroyed more buildings that round as %s1 than your previous best."
"StatPanel_Headshots_Best"			"Du sköt fler huvudskott i den omgången än ditt rekord."
"[english]StatPanel_Headshots_Best"			"You had more headshots that round than your previous best."
"StatPanel_SentryKills_Best"			"Ditt vaktgevär dödade fler i den omgången än ditt rekord."
"[english]StatPanel_SentryKills_Best"			"Your sentry gun had more kills that round than your previous best."
"StatPanel_Teleports_Best"			"Din teleportör användes mer i den omgången än ditt rekord."
"[english]StatPanel_Teleports_Best"			"Your teleporter was used more that round than your previous best."
"StatPanel_Dominations_Best"			"Du dominerade fler nya motståndare som %s1 i den omgången än ditt rekord."
